City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
233,aykhal,66.0,111.5,5.99,93,88,25.7,RU,1733523111
234,prince george,53.9166,-122.753,35.62,99,100,12.66,CA,1733523113
235,saint-pierre,-21.3393,55.4781,73.08,64,0,6.91,RE,1733523114
236,cidreira,-30.1811,-50.2056,68.56,96,92,13.29,BR,1733523115
237,pisco,-13.7,-76.2167,69.85,78,0,13.8,PE,1733523116
238,kodiak,57.79,-152.4072,40.51,93,100,10.36,US,1733523118
239,as sulayyil,20.4607,45.5779,63.18,35,0,5.84,SA,1733523119
240,byron bay,-28.65,153.6167,78.22,72,19,10.65,AU,1733522847
241,suva,-18.1416,178.4415,85.48,79,75,8.05,FJ,1733523121
242,mount gambier,-37.8333,140.7667,63.43,93,88,5.19,AU,1733523123
243,bel ombre,-4.6167,55.4167,79.12,83,98,17.58,SC,1733523124
244,nova sintra,14.8667,-24.7167,77.49,80,54,29.3,CV,1733523126
245,pimentel,-6.8367,-79.9342,73.69,64,0,23.02,PE,1733523127
246,sandnessjoen,66.0217,12.6316,37.51,81,75,19.57,NO,1733523129
247,bristol,41.8334,-71.1662,29.86,42,0,7.0,US,1733523130
248,crane,31.3974,-102.3501,49.53,48,100,11.12,US,1733523131
249,santana,-0.0583,-51.1817,80.78,89,20,4.61,BR,1733523132
250,behshahr,36.6923,53.5526,51.49,71,59,2.93,IR,1733523133
251,holualoa,19.6228,-155.9522,78.64,71,0,12.66,US,1733523135
252,sihanoukville,10.6093,103.5296,76.95,94,40,2.3,KH,1733523136
253,anloga,5.7947,0.8973,81.84,77,100,7.76,GH,1733523137
254,buka,40.8108,69.1986,35.94,76,0,2.53,UZ,1733523138
255,kish,26.5578,54.0194,77.83,55,2,14.97,IR,1733523140
256,island harbour,50.724,-1.2758,55.47,76,100,17.0,GB,1733523141
257,lebu,-37.6167,-73.65,56.44,64,0,18.72,CL,1733523142
258,bardai,11.65,7.2333,66.22,25,100,9.8,NG,1733523143
259,luganville,-15.5333,167.1667,76.03,89,100,4.52,VU,1733523144
260,gizo,-8.103,156.8419,83.64,76,77,8.88,SB,1733523146
261,mili,6.0815,171.735,82.26,82,100,22.12,MH,1733523147
262,itoman,26.1247,127.6694,66.58,94,75,16.11,JP,1733523148
263,toppenish,46.3774,-120.3087,33.1,47,100,2.33,US,1733523149
264,oranjemund,-28.55,16.4333,61.97,90,19,10.92,NA,1733523151
